사고유형,심판원,발생연도,야간,선종,총톤수,업무정지_개월,제재_건수,원인_단계수
화재·폭발,미상,2022,True,어선,9.77,2,1,2
화재·폭발,미상,2024,False,예인선,288.0,1,1,2
충돌,미상,2024,False,어선,5.8,2,2,2
해양오염,미상,2023,False,예인선,75.0,2,1,2
충돌,미상,2024,False,어선,29.0,2,2,2
충돌,미상,2024,True,어선,4.99,1,2,2
충돌,미상,2024,True,화물선,299.0,1,2,2
충돌,미상,2023,True,화물선,11481.0,2,4,2
접촉,미상,2024,False,예인선,173.0,2,1,3
인명사상,미상,2024,False,화물선,,0,1,1
좌초,미상,2025,True,화물선,3981.0,6,2,2
접촉,미상,,,어선,,2,1,2
해양오염,미상,2024,False,운반선,196.0,0,2,2
충돌,미상,2025,False,어선,4.99,3,2,2
화재·폭발,미상,2024,False,어선,1072.0,1,2,2
해양오염,미상,2024,True,부선,180.0,0,1,2
충돌,미상,2025,True,어선,2.74,0,2,2
충돌,미상,2025,False,예인선,72.0,2,2,2
해양오염,미상,2024,False,급유선,759.0,1,3,3
